post_id,reason
ID:2023380419182477654,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023386951718678865,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023399358075683232,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023410321722134678,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023425074255261790,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023434419194020143,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023445894285434980,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023447374836924804,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023511553707012438,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023514389459112111,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023540914053087652,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023596668160004220,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023616602588192890,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023645634516185463,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023654418395394170,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023655841795313909,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023659243627598129,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023666534854369350,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023675029247144195,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023680858092433765,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023693141640180120,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023694752923914707,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023697275697168494,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023701424887197705,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023703501701075091,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023705977183498681,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023706087007154513,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023717848175308945,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023718760457400454,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023719295327604757,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023719428316426365,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023737886961435062,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023744523168551209,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023745552736031195,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023746498232746086,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023762424223195417,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023810042966011938,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023859419344498733,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023861490768556205,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023879634706985150,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023880685636001803,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023890380849356941,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023894593012682806,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023927916208566305,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023944726714470563,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023949754783138300,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023983391125733490,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023984734012141777,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023988208267153505,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023989160474812613,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023991900483604914,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023995211525832903,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023999567855796600,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024005414724190521,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024006328029765960,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024019378375979298,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024019410869170295,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024024871945359524,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024025212053057691,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024029612200915271,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024039470165815521,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024040804113891754,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024041325746856196,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024047711033643248,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024048963561963988,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024071592033305008,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024085572235804889,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024103686054785103,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024129051112124713,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024275496499105981,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024277561807958165,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024278452913000797,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024408486206197924,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024428808804454539,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024461054416474449,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024472214188544322,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024489249169609183,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024507970965680416,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024717473048883612,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024771569831268732,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024846980196012114,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024856124617527304,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2024989683693113613,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2025518750657905046,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2025717558113104326,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2030954536106607013,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2034254531295670525,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2035135170077237754,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2035709266460602575,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2036760306131624433,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2037418580678152422,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2038603263399133333,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2042214143676309532,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2042788471472091436,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2046079446600581231,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2046079918090695150,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2046127407149834333,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2047307158015078525,RELAXED_KEYWORD_STILL_EXCLUDED
ID:1984855686174650549,FINAL_ONLY_EXCLUSION
ID:1989858784630722934,FINAL_ONLY_EXCLUSION
ID:1991095784574783679,FINAL_ONLY_EXCLUSION
ID:1992594375264936279,FINAL_ONLY_EXCLUSION
ID:1994940498117890376,FINAL_ONLY_EXCLUSION
ID:1997248464808509808,FINAL_ONLY_EXCLUSION
ID:1997573874742137094,FINAL_ONLY_EXCLUSION
ID:1997995561425993962,FINAL_ONLY_EXCLUSION
ID:2000952290786893986,FINAL_ONLY_EXCLUSION
ID:2008388608416510253,FINAL_ONLY_EXCLUSION
ID:2009915825868956085,FINAL_ONLY_EXCLUSION
ID:2009992422546411913,FINAL_ONLY_EXCLUSION
ID:2011319897192857868,FINAL_ONLY_EXCLUSION
ID:2011396224281407664,FINAL_ONLY_EXCLUSION
ID:2011663550406934793,FINAL_ONLY_EXCLUSION
ID:2012153808458317987,FINAL_ONLY_EXCLUSION
ID:2012742101541462487,FINAL_ONLY_EXCLUSION
ID:2012742104079069684,FINAL_ONLY_EXCLUSION
ID:2013121916522188965,FINAL_ONLY_EXCLUSION
ID:2013831200646078783,FINAL_ONLY_EXCLUSION
ID:2014126271056474306,FINAL_ONLY_EXCLUSION
ID:2015237416895062196,FINAL_ONLY_EXCLUSION
ID:2017189409343545420,FINAL_ONLY_EXCLUSION
ID:2017190010198597927,FINAL_ONLY_EXCLUSION
ID:2018497473342546271,FINAL_ONLY_EXCLUSION
ID:2018505167042392484,FINAL_ONLY_EXCLUSION
ID:2018509226570903782,FINAL_ONLY_EXCLUSION
ID:2018509747092410369,FINAL_ONLY_EXCLUSION
ID:2018510532270260571,FINAL_ONLY_EXCLUSION
ID:2018518025587339266,FINAL_ONLY_EXCLUSION
ID:2018518255426822184,FINAL_ONLY_EXCLUSION
ID:2018518683795218509,FINAL_ONLY_EXCLUSION
ID:2018519456079900851,FINAL_ONLY_EXCLUSION
ID:2018526212638052382,FINAL_ONLY_EXCLUSION
ID:2018528784698511666,FINAL_ONLY_EXCLUSION
ID:2018536310198378498,FINAL_ONLY_EXCLUSION
ID:2018540154630390080,FINAL_ONLY_EXCLUSION
ID:2018561975266275482,FINAL_ONLY_EXCLUSION
ID:2018575417536602270,FINAL_ONLY_EXCLUSION
ID:2018970172636426328,FINAL_ONLY_EXCLUSION
ID:2019980161316450771,FINAL_ONLY_EXCLUSION
ID:2020048462600089637,FINAL_ONLY_EXCLUSION
ID:2020379685159596266,FINAL_ONLY_EXCLUSION
ID:2020416326834221234,FINAL_ONLY_EXCLUSION
ID:2020443036870693021,FINAL_ONLY_EXCLUSION
ID:2020475538423644426,FINAL_ONLY_EXCLUSION
ID:2021032718965014697,FINAL_ONLY_EXCLUSION
ID:2021063188750663953,FINAL_ONLY_EXCLUSION
ID:2021410855901077767,FINAL_ONLY_EXCLUSION
ID:2021475628185420268,FINAL_ONLY_EXCLUSION
ID:2021865665079226688,FINAL_ONLY_EXCLUSION
ID:2022142631229464622,FINAL_ONLY_EXCLUSION
ID:2023334380052332601,FINAL_ONLY_EXCLUSION
ID:2023346370254660024,FINAL_ONLY_EXCLUSION
ID:2023363541085135013,FINAL_ONLY_EXCLUSION
ID:2023510065182068778,FINAL_ONLY_EXCLUSION
ID:2023602061452202156,FINAL_ONLY_EXCLUSION
ID:2023621312296743093,FINAL_ONLY_EXCLUSION
ID:2023687577040228448,FINAL_ONLY_EXCLUSION
ID:2023713077905289225,FINAL_ONLY_EXCLUSION
ID:2024027453069369761,FINAL_ONLY_EXCLUSION
ID:2024423966912160240,FINAL_ONLY_EXCLUSION
ID:2024809239257161879,FINAL_ONLY_EXCLUSION
ID:2025796091552387102,FINAL_ONLY_EXCLUSION
ID:2025890670020550918,FINAL_ONLY_EXCLUSION
ID:2026602368415183341,FINAL_ONLY_EXCLUSION
ID:2026629556329918579,FINAL_ONLY_EXCLUSION
ID:2028087242141639134,FINAL_ONLY_EXCLUSION
ID:2028273360858436006,FINAL_ONLY_EXCLUSION
ID:2028273483717963999,FINAL_ONLY_EXCLUSION
ID:2028278035955540431,FINAL_ONLY_EXCLUSION
ID:2028670036597219684,FINAL_ONLY_EXCLUSION
ID:2028701406807667100,FINAL_ONLY_EXCLUSION
ID:2028711972183892458,FINAL_ONLY_EXCLUSION
ID:2028765154956259677,FINAL_ONLY_EXCLUSION
ID:2029121780971937939,FINAL_ONLY_EXCLUSION
ID:2030078731411456186,FINAL_ONLY_EXCLUSION
ID:2030256300748419318,FINAL_ONLY_EXCLUSION
ID:2030740083956232539,FINAL_ONLY_EXCLUSION
ID:2030890559167222096,FINAL_ONLY_EXCLUSION
ID:2031163707393478753,FINAL_ONLY_EXCLUSION
ID:2031173191830564869,FINAL_ONLY_EXCLUSION
ID:2031716760307765299,FINAL_ONLY_EXCLUSION
ID:2031912585038266629,FINAL_ONLY_EXCLUSION
ID:2031931509947724234,FINAL_ONLY_EXCLUSION
ID:2031943566826827820,FINAL_ONLY_EXCLUSION
ID:2032047611142947001,FINAL_ONLY_EXCLUSION
ID:2032112341631057975,FINAL_ONLY_EXCLUSION
ID:2033521357049450903,FINAL_ONLY_EXCLUSION
ID:2034182655483564242,FINAL_ONLY_EXCLUSION
ID:2034286439698161685,FINAL_ONLY_EXCLUSION
ID:2034458554627956968,FINAL_ONLY_EXCLUSION
ID:2034847872257335629,FINAL_ONLY_EXCLUSION
ID:2034880012659433724,FINAL_ONLY_EXCLUSION
ID:2035532694378172709,FINAL_ONLY_EXCLUSION
ID:2035534426780893219,FINAL_ONLY_EXCLUSION
ID:2035649685659005329,FINAL_ONLY_EXCLUSION
ID:2036586394097950875,FINAL_ONLY_EXCLUSION
ID:2036968616353227053,FINAL_ONLY_EXCLUSION
ID:2037689116721357258,FINAL_ONLY_EXCLUSION
ID:2039983677447536877,FINAL_ONLY_EXCLUSION
ID:2039984324930683005,FINAL_ONLY_EXCLUSION
ID:2040044626174951492,FINAL_ONLY_EXCLUSION
ID:2040293064070283286,FINAL_ONLY_EXCLUSION
ID:2041844553515425904,FINAL_ONLY_EXCLUSION
ID:2042548057938759899,FINAL_ONLY_EXCLUSION
ID:2042857752821928388,FINAL_ONLY_EXCLUSION
ID:2042859485006585931,FINAL_ONLY_EXCLUSION
ID:2043331943140581756,FINAL_ONLY_EXCLUSION
ID:2043596816038650115,FINAL_ONLY_EXCLUSION
ID:2043850937706611116,FINAL_ONLY_EXCLUSION
ID:2043867641874657463,FINAL_ONLY_EXCLUSION
ID:2044262223527456897,FINAL_ONLY_EXCLUSION
ID:2045484990260248623,FINAL_ONLY_EXCLUSION
ID:2045504301901189469,FINAL_ONLY_EXCLUSION
ID:2045508832718422032,FINAL_ONLY_EXCLUSION
ID:2045534814997295436,FINAL_ONLY_EXCLUSION
ID:2045686411832258988,FINAL_ONLY_EXCLUSION
ID:2045693795292074401,FINAL_ONLY_EXCLUSION
ID:2045702277831512408,FINAL_ONLY_EXCLUSION
ID:2046170829629919410,FINAL_ONLY_EXCLUSION
ID:2046223052950884699,FINAL_ONLY_EXCLUSION
ID:2046835491509841946,FINAL_ONLY_EXCLUSION
ID:2046911797958209583,FINAL_ONLY_EXCLUSION
ID:2047182436640141591,FINAL_ONLY_EXCLUSION
ID:2047328555735089337,FINAL_ONLY_EXCLUSION
ID:2047541332898705679,FINAL_ONLY_EXCLUSION
ID:2047571790671867979,FINAL_ONLY_EXCLUSION
ID:2047843046470099202,FINAL_ONLY_EXCLUSION
ID:2047873990363156523,FINAL_ONLY_EXCLUSION
ID:2047982647943831787,FINAL_ONLY_EXCLUSION
ID:2048033910798622938,FINAL_ONLY_EXCLUSION
ID:2049002445536464978,FINAL_ONLY_EXCLUSION
ID:2049317395622408381,FINAL_ONLY_EXCLUSION
